row_ID,vehicle_manufacturer,vehicle_model,vehicle_category,current_mileage,vehicle_year,vehicle_gearbox_type,doors_cnt,wheels,vehicle_color,vehicle_interior_color,car_vin,car_leather_interior,deal_type,final_price
18,NISSAN,Tiida,Hatchback,0,2005,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,3200.0
19,HYUNDAI,Sonata,Sedan,94000,2015,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,11456.0
20,VOLKSWAGEN,Golf,Sedan,165248,1999,Manual, 4/5,  Left wheel  , White ,  Black ,,0,For Sale,1700.0
21,HYUNDAI,Sonata,Sedan,99690,2016,Automatic, 4/5,  Left wheel  , Blue ,  Black ,,1,For Sale,12394.0
22,HONDA,FIT,Universal,98000,2012,Automatic, 4/5,  Right-hand drive   , Grey ,  Black ,,0,For Sale,2870.0
23,NISSAN,Tiida,Sedan,16000,2005,Variator, 4/5,  Right-hand drive   , Grey ,  Grey ,,0,For Sale,2700.0
24,BMW,X5,Jeep,296395,2012,Automatic, 4/5,  Left wheel  , Grey ,, 5UXZW0C57CL664603 ,1,For Sale,50.0
25,HYUNDAI,Sonata,Sedan,496592,2014,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,3700.0
26,TOYOTA,Camry,Sedan,130478,2014,Automatic, 4/5,  Left wheel  , White ,  Black , 4T1BD1FK3EU107695 ,1,For Sale,275.0
27,MERCEDES-BENZ,Sprinter,Microbus,100000,2006,Manual, 4/5,  Left wheel  , White ,  Black ,,0,For Sale,7000.0
28,TOYOTA,Highlander,Jeep,225464,2012,Automatic, 4/5,  Left wheel  ,,  Black , JTEDC3EH1C2004166 ,1,For Sale,250.0
29,SUBARU,Legacy,Sedan,8000,2004,Tiptronic, 4/5,  Right-hand drive   , Black ,  Black ,,0,For Sale,2300.0
30,CHEVROLET,Cruze,Sedan,46261,2017,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,1100.0
31,TOYOTA,Camry,Sedan,314373,2012,Automatic, 4/5,  Left wheel  , Grey ,  Black , 4T1BD1FK2CU027785 ,1,For Sale,125.0
32,VOLKSWAGEN,Jetta,Sedan,43677,2016,Automatic, 4/5,  Left wheel  , Black ,, 3VW267AJ4GM227302 ,1,For Sale,5000.0
33,FORD,Transit,Goods wagon,117277,2011,Manual, 4/5,  Left wheel  , White ,  Black ,,0,For Sale,8200.0
34,BMW,X6,Jeep,224000,2012,Tiptronic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,26500.0
35,HYUNDAI,Sonata,Sedan,256355,2016,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,3600.0
36,HYUNDAI,Elantra,Sedan,74909,2016,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,8770.0
37,CHEVROLET,Volt,Hatchback,0,2013,Automatic, 4/5,  Left wheel  , Grey ,, 1G1RH6E40DU104154 ,1,For Sale,100.0
38,FORD,Fiesta,Sedan,66888,2014,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,2500.0
39,CHEVROLET,Orlando,Jeep,201892,2012,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,4823.0
40,VOLKSWAGEN,Jetta,Sedan,162987,2012,Automatic, 4/5,  Left wheel  , Grey ,, 3VWDX7AJ9CM077073 ,1,For Sale,125.0
41,HYUNDAI,Elantra,Sedan,31065,2017,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,6879.0
42,HYUNDAI,Elantra,Sedan,94910,2011,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,6462.0
43,HYUNDAI,Santa FE,Jeep,122884,2010,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,8325.0
44,MERCEDES-BENZ,GLA 250,Jeep,99542,2015,Automatic, 4/5,  Left wheel  , White ,, WDCTG4GB2FJ079420 ,1,For Sale,3550.0
45,MERCEDES-BENZ,Sprinter 316 CDI,Microbus,296000,2011,Manual, 2/3,  Left wheel  , Blue ,  Black ,,0,For Sale,8000.0
46,TOYOTA,Camry,Sedan,109798,2014,Automatic, 4/5,  Left wheel  , White ,  Black , 4T1BD1FK5EU128824 ,1,For Sale,1750.0
47,MITSUBISHI,Pajero,Jeep,155000,2007,Tiptronic, 2/3,  Right-hand drive   , Silver ,  Black ,,0,For Sale,6000.0
48,CHEVROLET,Spark,Sedan,37542,2014,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,2599.0
49,NISSAN,Juke,Jeep,129128,2013,Automatic, 4/5,  Left wheel  , White ,, JN8AF5MV2DT218035 ,1,For Sale,775.0
50,HYUNDAI,H1,Minivan,189167,2014,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,8639.0
51,BMW,X5,Jeep,82000,2014,Tiptronic, 4/5,  Left wheel  , Black ,  Brown ,,1,For Sale,22500.0
52,CHEVROLET,1500,Jeep,145896,2017,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,150.0
53,TOYOTA,Yaris,Hatchback,67357,2017,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,1100.0
54,LEXUS,CT 200h,Hatchback,226666,2012,Automatic, 4/5,  Left wheel  , Black ,, JTHKD5BH6C2081249 ,1,For Sale,225.0
55,MERCEDES-BENZ,E 350,Sedan,101424,2014,Automatic, 4/5,  Left wheel  , Grey ,, WDDHF9CB6EA909287 ,1,For Sale,10300.0
56,HYUNDAI,Sonata,Sedan,169765,2011,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,1150.0
57,TOYOTA,Vitz,Sedan,85000,2002,Automatic, 4/5,  Right-hand drive   , Silver ,  Grey ,,0,For Sale,2200.0
58,TOYOTA,Camry,Sedan,160358,2006,Automatic, 4/5,  Left wheel  , Red ,  Beige ,,1,For Sale,5500.0
59,LEXUS,GX 460,Jeep,229334,2012,Automatic, 4/5,  Left wheel  , Black ,, JTJJM7FX4C5046702 ,1,For Sale,11100.0
60,HYUNDAI,Elantra,Sedan,53943,2017,Automatic, 4/5,  Left wheel  , Silver ,  Grey , 5NPD74LF0HH205109 ,0,For Sale,5300.0
61,HYUNDAI,Sonata,Sedan,163200,2014,Tiptronic, 4/5,  Left wheel  , Black ,  Beige ,,0,For Sale,7000.0
62,LEXUS,RX 400,Jeep,175000,2008,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,10150.0
63,MITSUBISHI,I,Hatchback,92000,2011,Automatic, 4/5,  Right-hand drive   , Brown ,  Black ,,0,For Sale,1800.0
64,CHEVROLET,Impala,Sedan,83755,2016,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,16602.0
65,TOYOTA,Tacoma,Sedan,0,2014,Automatic, 4/5,  Left wheel  , Silver ,  Black , 3TMJU4GN9EM157368 ,1,For Sale,2100.0
66,OPEL,Astra H,Hatchback,170000,2004,Manual, 4/5,  Left wheel  , Black ,  Black ,,0,For Sale,2800.0
67,CHEVROLET,Volt,Hatchback,52062,2017,Automatic, 4/5,  Left wheel  , Blue ,, 1G1RC6S54HU170417 ,1,For Sale,8300.0
68,SUBARU,Forester,Sedan,289848,2000,Tiptronic, 4/5,  Right-hand drive   , Silver ,  Black ,,0,For Sale,1000.0
69,TOYOTA,Prius,Hatchback,260480,2008,Automatic, 4/5,  Left wheel  , White ,  Black ,,0,For Sale,3600.0
70,BMW,X5,Jeep,229966,2012,Automatic, 4/5,  Left wheel  , Black ,, 5UXZW0C5XCL673473 ,1,For Sale,3450.0
71,DAEWOO,Lacetti,Sedan,75840,2010,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,2150.0
72,MERCEDES-BENZ,GLA 250,Sedan,14792,2018,Automatic,,  Left wheel  , Silver ,, WDCTG4EB7JJ507512 ,1,For Sale,1100.0
73,MERCEDES-BENZ,ML 350,Jeep,274088,2009,Automatic, 4/5,  Left wheel  , Black ,,,1,For Sale,2000.0
74,HYUNDAI,Santa FE,Jeep,80758,2013,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,10176.0
75,TOYOTA,Prius,Hatchback,169301,2013,Automatic, 4/5,  Left wheel  , White ,  Black , JTDKN3DU2D5580904 ,1,For Sale,50.0
76,SSANGYONG,Korando,Jeep,112295,2012,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,7000.0
77,SUBARU,Forester,Jeep,203730,2012,Automatic, 4/5,  Left wheel  , Blue ,, JF2SHAEC5CH451586 ,1,For Sale,150.0
78,LEXUS,GX 470,Sedan,106918,2015,Automatic, 4/5,  Left wheel  , Black ,, JTJJM7FX8F5099147 ,1,For Sale,1100.0
79,VOLKSWAGEN,UP,Hatchback,22111,2013,Tiptronic, 4/5,  Right-hand drive   , Blue ,  Black ,,0,For Sale,2400.0
80,BMW,X5,Jeep,180000,2011,Tiptronic, 4/5,  Left wheel  , Black ,  Black , 5UXZW0C5XCL665129 ,1,For Sale,16500.0
81,MERCEDES-BENZ,E 220,Sedan,220000,1997,Manual, 4/5,  Left wheel  , Grey ,  Black ,,0,For Sale,2100.0
82,TOYOTA,Corolla spacio,Hatchback,299999,1998,Automatic, 4/5,  Right-hand drive   , White ,  Grey ,,0,For Sale,700.0
83,HYUNDAI,Tucson,Jeep,44844,2017,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,16803.0
84,MERCEDES-BENZ,E 400,Sedan,0,2018,Automatic,,  Left wheel  , Green ,, WDD1K6FB4JF033937 ,1,For Sale,8300.0
85,MERCEDES-BENZ,GL 320,Jeep,152000,2009,Tiptronic, 4/5,  Left wheel  , Silver ,  Grey ,,1,For Sale,12700.0
86,VOLKSWAGEN,Jetta,Sedan,63792,2015,Automatic, 4/5,  Left wheel  , Black ,, 3VWB07AJ0FM309074 ,1,For Sale,2000.0
87,NISSAN,Micra,Sedan,248000,2004,Manual, 2/3,  Left wheel  , Blue ,  Black ,,0,For Sale,2550.0
88,LEXUS,IS 200,Sedan,35200,2017,Tiptronic, 4/5,  Left wheel  , White ,  Red ,,1,For Sale,22000.0
89,TOYOTA,Prius,Hatchback,418667,2012,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,100.0
90,MERCEDES-BENZ,E 350,Sedan,229904,2010,Automatic, 4/5,  Left wheel  , Black ,, WDDHF8HB7AA193979 ,1,For Sale,150.0
91,MAZDA,Mx-5 Miata,Cabriolet,36000,2016,Manual, 2/3,  Left wheel  , White ,  Black , JM1NDAB74G0110909 ,0,For Sale,15400.0
92,MINI,Cooper S Cabrio,Hatchback,110325,2016,Automatic, 4/5,  Left wheel  , Black ,, WMWXU3C53G2D28085 ,1,For Sale,500.0
93,HYUNDAI,Elantra,Sedan,48174,2019,Automatic,,  Left wheel  , Grey ,,,1,For Sale,900.0
94,HYUNDAI,Sonata,Sedan,224349,2011,Automatic, 4/5,  Left wheel  , Grey ,, KMHEC4A49BA004756 ,1,For Sale,80.0
95,OPEL,Astra,Sedan,16000,2000,Manual, 4/5,  Left wheel  , White ,  Grey ,,0,For Sale,1800.0
96,HONDA,FIT,Hatchback,133423,2013,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,3467.0
97,HONDA,FIT,Hatchback,65000,2007,Automatic, 4/5,  Right-hand drive   , Silver ,  Grey ,,0,For Rent,14.0
98,FORD,Escape,Sedan,324594,2008,Automatic, 4/5,  Left wheel  , Silver ,, 1FMCU02Z48KE62232 ,1,For Sale,150.0
99,SUBARU,WRX,Sedan,126581,2016,Automatic, 4/5,  Left wheel  , Silver ,, JF1VA1E67G9808542 ,1,For Sale,4950.0
100,VOLKSWAGEN,Jetta,Sedan,82392,2014,Automatic, 4/5,  Left wheel  , Silver ,, 3VW1K7AJ6EM438747 ,1,For Sale,500.0
101,SUZUKI,Swift,Sedan,151000,2008,Manual, 4/5,  Right-hand drive   , Black ,  Black ,,0,For Sale,2500.0
102,BMW,318,Coupe,0,1994,Manual, 2/3,  Left wheel  , Silver ,  Black ,,0,For Sale,2000.0
103,HYUNDAI,Sonata,Sedan,90621,2015,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,12112.0
104,HYUNDAI,Tucson,Jeep,65863,2014,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,13462.0
105,MITSUBISHI,Pajero Mini,Sedan,100000,2001,Manual, 2/3,  Right-hand drive   , White ,  Grey ,,0,For Sale,2400.0
106,HYUNDAI,Sonata,Sedan,122950,2014,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,900.0
107,CHEVROLET,Orlando,Jeep,177103,2014,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,6932.0
108,TOYOTA,Aqua,Universal,66212,2014,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,6068.0
109,MERCEDES-BENZ,E 350,Sedan,101424,2014,Automatic, 4/5,  Left wheel  , Grey ,, WDDHF9CB6EA909287 ,1,For Sale,200.0
110,MERCEDES-BENZ,E 350,Sedan,331144,2014,Automatic, 4/5,  Left wheel  , Black ,, WDDHF5KB2EA906655 ,1,For Sale,9600.0
111,VOLKSWAGEN,CC,Sedan,66000,2010,Tiptronic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,4113.0
112,TOYOTA,Highlander,Jeep,260053,2008,Automatic, 4/5,  Left wheel  , Silver ,  Black , JTEEW41A082007383 ,1,For Sale,175.0
113,LEXUS,IS 250,Sedan,70154,2015,Automatic, 4/5,  Left wheel  , White ,, JTHBF1D2XF5068793 ,1,For Sale,1600.0
114,ACURA,TL,Sedan,162453,2010,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,100.0
115,VAZ,2107,Sedan,80000,2005,Manual, 4/5,  Right-hand drive   , White ,  Beige ,,0,For Sale,797.0
116,JEEP,Grand Cherokee,Sedan,30606,2018,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,125.0
117,TOYOTA,Corolla,Sedan,238270,2013,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,925.0
118,MERCEDES-BENZ,C 200 2.0,Universal,223644,2004,Tiptronic, 4/5,  Right-hand drive   , White ,  Black ,,1,For Sale,797.0
119,HYUNDAI,Elantra,Sedan,60000,2014,Tiptronic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,7600.0
120,HYUNDAI,Tucson,Jeep,111865,2017,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,12826.0
121,FORD,Fusion,Sedan,100747,2015,Automatic, 4/5,  Left wheel  , Green ,, 3FA6P0PU3FR241788 ,1,For Sale,850.0
122,TOYOTA,Camry,Sedan,102397,2014,Automatic, 4/5,  Left wheel  , Black ,  Black , 4T1BD1FK7EU114553 ,1,For Sale,250.0
123,TOYOTA,ISIS,Minivan,198555,2005,Automatic, 4/5,  Right-hand drive   , Silver ,  Yellow ,,0,For Sale,3000.0
124,TOYOTA,RAV 4,Jeep,285000,2012,Manual, 4/5,  Left wheel  , White ,  Black ,,0,For Sale,6700.0
125,MITSUBISHI,Outlander,Jeep,1600,2012,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,6664.0
126,NISSAN,Juke,Jeep,56000,2014,Tiptronic, 4/5,  Left wheel  , Carnelian red ,  Grey , JN8AF5MR1ET451232 ,0,For Sale,7700.0
127,TOYOTA,CHR,Jeep,46733,2018,Automatic, 4/5,  Left wheel  , Silver ,  Black , NMTKHMBX0JR025383 ,1,For Sale,175.0
128,TOYOTA,Prius,Hatchback,100000,2008,Automatic, 4/5,  Left wheel  , Grey ,  Grey ,,0,For Rent,16.0
129,HYUNDAI,Elantra RESTAYLING,Sedan,196800,2014,Tiptronic, 4/5,  Left wheel  , Silver ,  Black , KMHDH4AE9EU172020 ,1,For Sale,7500.0
130,TOYOTA,Camry,Sedan,70066,2016,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,3300.0
131,LEXUS,CT 200h,Hatchback,337488,2011,Automatic, 4/5,  Left wheel  , Black ,, JTHKD5BH0B2001541 ,1,For Sale,200.0
132,HYUNDAI,Galloper,Jeep,200000,1999,Automatic, 4/5,  Left wheel  , Green ,  Grey ,,0,For Sale,1500.0
133,BMW,X5,Jeep,110715,2014,Automatic, 4/5,  Left wheel  , White ,, 5UXKS4C56E0J95478 ,1,For Sale,5300.0
134,NISSAN,Altima,Sedan,498435,2012,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,325.0
135,MERCEDES-BENZ,GLA 250,Sedan,30187,2018,Automatic,,  Left wheel  , Black ,, WDCTG4EBXJJ417612 ,1,For Sale,150.0
136,HYUNDAI,Tucson,Jeep,9261,2015,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,14204.0
137,SSANGYONG,Actyon,Jeep,54405,2017,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,13050.0
138,TOYOTA,Highlander limited,Sedan,120000,2008,Variator, 4/5,  Left wheel  , Silver ,  Grey ,,1,For Rent,32.0
139,AUDI,Q3,Sedan,74184,2016,Automatic, 4/5,  Left wheel  , Grey ,, WA1BFCFS7GR020893 ,1,For Sale,1100.0
140,KIA,Avella,Sedan,103470,2017,Automatic, 4/5,  Left wheel  , Silver ,  White ,,1,For Sale,1400.0
141,FORD,Escape,Jeep,0,2009,Automatic, 4/5,  Left wheel  , Grey ,, 1FMCU593X9KB01247 ,1,For Sale,100.0
142,MERCEDES-BENZ,CLK 320,Coupe,300000,2003,Tiptronic, 2/3,  Left wheel  , Blue ,  Beige ,,1,For Sale,2550.0
143,LEXUS,GX 460,Jeep,31093,2018,Automatic,,  Left wheel  , Black ,, JTJBM7FX4J5194947 ,1,For Sale,10100.0
144,HYUNDAI,Tucson,Jeep,65594,2010,Automatic, 4/5,  Left wheel  , Grey ,  Black ,,1,For Sale,4393.0
145,TOYOTA,Tundra,Sedan,65590,2017,Automatic,,  Left wheel  , Black ,, 5TFRM5F16HX119294 ,1,For Sale,8000.0
146,MERCEDES-BENZ,GLA 250,Jeep,66942,2016,Automatic, 4/5,  Left wheel  , White ,, WDCTG4EB1GJ224421 ,1,For Sale,250.0
147,TOYOTA,Vitz,Hatchback,17000,1999,Automatic, 4/5,  Right-hand drive   , Red ,  Grey ,,0,For Sale,1900.0
148,OPEL,Combo,Goods wagon,245124,2004,Manual, 4/5,  Left wheel  , White ,  Black ,,0,For Sale,2300.0
149,VOLKSWAGEN,Golf 4,Hatchback,183632,2000,Automatic, 4/5,  Right-hand drive   , Silver ,  Black ,,0,For Sale,2200.0
150,TOYOTA,Prius,Hatchback,74838,2013,Automatic, 4/5,  Left wheel  , White ,  Black , JTDKN3DU7D1701272 ,1,For Sale,1100.0
151,MITSUBISHI,Outlander,Jeep,160000,2005,Manual, 4/5,  Left wheel  , Silver ,  Black ,,0,For Sale,4200.0
152,TOYOTA,Camry,Sedan,314373,2012,Automatic, 4/5,  Left wheel  , Grey ,  Black , 4T1BD1FK2CU027785 ,1,For Sale,125.0
153,OPEL,Astra,Goods wagon,180000,2009,Manual, 4/5,  Left wheel  , Grey ,  Black ,,0,For Sale,3986.0
154,BMW,550,Sedan,119000,2010,Tiptronic, 4/5,  Left wheel  , Black ,  Brown ,,1,For Sale,15000.0
155,VOLKSWAGEN,Golf,Coupe,232000,1996,Manual, 2/3,  Left wheel  , Silver ,  Grey ,,0,For Sale,1212.0
156,MITSUBISHI,Pajero,Jeep,211433,1994,Manual, 2/3,  Left wheel  , White ,  Black ,,1,For Sale,3000.0
157,HYUNDAI,Sonata,Sedan,76551,2017,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,14458.0
158,MERCEDES-BENZ,E 350,Sedan,248525,2011,Automatic, 4/5,  Left wheel  , Black ,, WDDHF8HB1BA283369 ,1,For Sale,5800.0
159,HYUNDAI,Santa FE,Jeep,124578,2010,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,8565.0
160,DODGE,Challenger,Coupe,156192,2013,Manual, 4/5,  Left wheel  , Blue ,  Black , 2G1FE1E33E9179127 ,0,For Sale,7500.0
161,RENAULT,Laguna,Sedan,280000,2008,Manual, 4/5,  Left wheel  , Grey ,  Black ,,0,For Sale,3000.0
162,TOYOTA,Camry,Sedan,51200,2018,Automatic, 4/5,  Left wheel  , Black ,  Black , JTNB11HK4J3012620 ,1,For Sale,18700.0
163,HYUNDAI,Elantra,Sedan,64000,2015,Tiptronic, 4/5,  Left wheel  , Silver ,  Grey ,,0,For Rent,22.0
164,KIA,Forte,Sedan,65600,2016,Tiptronic, 4/5,  Left wheel  , Grey ,  Black ,,0,For Sale,5400.0
165,VOLKSWAGEN,Jetta,Sedan,150262,2012,Automatic, 4/5,  Left wheel  , Silver ,, 3VW467AJ2CM122826 ,1,For Sale,200.0
166,TOYOTA,Camry,Sedan,190549,2013,Automatic, 4/5,  Left wheel  , Black ,  Black , 4T4BF1FK2DR307417 ,1,For Sale,1600.0
167,TOYOTA,Camry,Sedan,88000,2014,Tiptronic, 4/5,  Left wheel  , Grey ,  Black , 4T1BD1EB0FU036572 ,1,For Sale,14000.0
168,BMW,745,Sedan,224000,2003,Tiptronic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,6000.0
169,MERCEDES-BENZ,E 220,Sedan,620000,2005,Manual, 4/5,  Left wheel  , Beige ,  Black ,,1,For Sale,3500.0
170,FORD,C-MAX,Hatchback,12000,2016,Automatic, 4/5,  Left wheel  , Carnelian red ,  Grey ,,0,For Sale,4700.0
171,TOYOTA,Camry,Sedan,124912,2013,Automatic, 4/5,  Left wheel  , White ,  Black , 4T1BD1FK9DU083479 ,1,For Sale,1200.0
172,TOYOTA,Camry,Sedan,12000,2018,Tiptronic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,19500.0
173,HONDA,Insight EX,Sedan,192000,2009,Tiptronic, 4/5,  Left wheel  , Grey ,  White ,,0,For Sale,2288.0
174,MINI,Countryman S,Hatchback,53440,2014,Tiptronic, 4/5,  Left wheel  , Blue ,  Black , WMWZC3C53FWT01887 ,1,For Sale,13800.0
175,MERCEDES-BENZ,E 300,Sedan,26802,2017,Automatic, 4/5,  Left wheel  , Black ,, WDDZF4JB8HA110111 ,1,For Sale,100.0
176,CHEVROLET,Cruze,Sedan,130000,2011,Automatic, 4/5,  Left wheel  , Sky blue ,  Black , 1G1PC5SH7B7297440 ,0,For Sale,3900.0
177,VOLKSWAGEN,Jetta,Sedan,142515,2013,Automatic, 4/5,  Left wheel  , White ,, 3VW467AJ8DM231647 ,1,For Sale,200.0
178,SSANGYONG,Korando,Jeep,125926,2012,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,7284.0
179,MERCEDES-BENZ,ML 350,Jeep,13900,2007,Tiptronic, 4/5,  Left wheel  , Black ,  Beige ,,1,For Sale,7200.0
180,HYUNDAI,Tucson,Jeep,193436,2010,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,5475.0
181,TOYOTA,Camry,Sedan,109798,2014,Automatic, 4/5,  Left wheel  , White ,  Black , 4T1BD1FK5EU128824 ,1,For Sale,1750.0
182,HONDA,Odyssey,Sedan,13994,2019,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,6300.0
183,VOLKSWAGEN,CC,Sedan,50000,2011,Tiptronic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,3800.0
184,CHEVROLET,Equinox,Jeep,115573,2017,Automatic, 4/5,  Left wheel  , White ,  Black ,,1,For Sale,625.0
185,BMW,540 I,Sedan,173000,1995,Manual, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,15000.0
186,BMW,X3,Jeep,148000,2012,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,11000.0
187,MERCEDES-BENZ,ML 350,Jeep,275862,2011,Automatic, 4/5,  Left wheel  , Silver ,, 4JGBB2FB8BA634012 ,1,For Sale,150.0
188,BMW,740,Sedan,121000,2010,Tiptronic, 4/5,  Left wheel  , Blue ,  Orange , WBAKB4C56BC574585 ,1,For Sale,10500.0
189,VOLKSWAGEN,Jetta,Sedan,142515,2013,Automatic, 4/5,  Left wheel  , White ,, 3VW467AJ8DM231647 ,1,For Sale,200.0
190,HONDA,FIT,Hatchback,116094,2013,Automatic, 4/5,  Left wheel  , Blue ,  Black ,,1,For Sale,3127.0
191,FORD,Escape,Jeep,80159,2008,Automatic, 4/5,  Left wheel  , Silver ,  Black ,,1,For Sale,7125.0
192,VOLKSWAGEN,Jetta,Sedan,150262,2012,Automatic, 4/5,  Left wheel  , Silver ,, 3VW467AJ2CM122826 ,1,For Sale,200.0
193,OPEL,Astra,Goods wagon,270000,1999,Manual, 4/5,  Left wheel  , Green ,  Black ,,0,For Sale,2800.0
194,HYUNDAI,Elantra,Sedan,75300,2012,Automatic, 4/5,  Left wheel  , Black ,  Black ,,1,For Sale,6379.0
195,ZAZ,969 968M,Coupe,213421,1992,Manual, 2/3,  Left wheel  , White ,  Black ,,1,For Sale,400.0
